,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
11,LAM-1036-009,CORE M6 2.00 X 3.600 ,03,1036-009,,1036-008,50.8,Pulsar-A,N/A,1036-008,N/A,Pulsar-B,N/A,1036-008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,18,Cocido,Tech Cool 10-1,Si,35Q145,,,0.0138,3.6,0.0112,9.25,671,7.5152,26*26*16,64,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 170
12,LAM-2024-001,CORE M50-26 2.4 x 12.0 W/3 H,03,2024-001,,2024-001,306.4,Bliss,N/A,N/A,B8,P-150B,N/A,N/A,B8,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,26,18,N/A,Evaporativo,Si,50M470,50M400,,0.0197,2.4,0.0711,4,204,14.5044,26*26*16,40,26*26,Estándar,GPM 180/200
13,LAM-2024-002,CORE M6-29 2.4 x 12.0,03,2024-002,,2024-001,306.4,Bliss,N/A,N/A,B8,P-150B,N/A,N/A,B8,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,26,18,N/A,Evaporativo,Si,M6,35M145,35M140,0.0138,2.40,0.0491,4,290,14.2390,26*26*16,40,26*26,Estándar,GPM 27
14,0010027,"LAM, EI-3P325, M19 M26",,E-325-3P,,E-325-3P,288.925,P-200B,Placas 14,N/A,N/A,P-150A,N/A,,,,,,,N/A,,,,28,18,N/A,Tech cool 10-1 / Evaporativo,Si,50M400,,,0.0197,16.25,0.326,28,1422,463.5720,26*26*16,2,26*26,Estándar,
15,EI 120-M5026-3P,LAMINATION EI-1.20 M50-26G,,EI-120-M5026-3P,,EI-120-3P,213.36,Bliss,N/A,EI-120-3P,N/A,Minster 100,N/A,EI-120-3P,N/A,,,,,,,,,26,18,Recocido ,Tech Cool 10-1,Si,50M470,,,0.0197,6,0.0458,4.625,235,10.7630,26*26*16,20,26*26,Estándar,GPM 110
16,EI 120-M5026-3P,LAMINATION EI-1.20 M50-26G,,EI-120-M5026-3P,,EI-120-3P,213.36,Bliss,N/A,EI-120-3P,N/A,Minster 100,N/A,EI-120-3P,N/A,,,,,,,,,26,18,Recocido ,Tech Cool 10-1,Si,50M470,,,0.0197,6,0.017,4.625,235,3.9950,26*26*16,20,26*26,Estándar,GPM 110
17,EI120-M5126-3P,LAMIN EI1.2 M51 26GA 3PH,,EI-120-M5126-3P,,EI-120-3P,213.36,Bliss,N/A,EI-120-3P,N/A,Minster 100,N/A,EI-120-3P,N/A,,,,,,,,,26,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,6,0.0458,4.625,235,10.7630,26*26*16,20,26*26,Estándar,GPM 120
18,EI120-M5126-3P,LAMIN EI1.2 M51 26GA 3PH,,EI-3P120 M51 26,,EI-120-3P,213.36,Bliss,N/A,EI-120-3P,N/A,Minster 100,N/A,EI-120-3P,N/A,,,,,,,,,26,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,6,0.017,4.625,235,3.9950,26*26*16,20,26*26,Estándar,GPM 110
19,EI-150-M5026-3P,LAMINATION EI-1.50 M50-26G ,,EI-150-M5026-3P,,EI-150-3P,266.7,P-150A,N/A,EI-150-3P,N/A,P-200A,Placas 6,EI-150-3P,N/A,,,,,,,,,27,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,7.5,0.069,4.625,235,16.2150,26*26*16,28,26*26,Estándar,GPM 95
20,EI-150-M5026-3P,LAMINATION EI-1.50 M50-26G ,,EI-150-M5026-3P,,EI-150-3P,266.7,P-150A,N/A,EI-150-3P,N/A,P-200A,Placas 6,EI-150-3P,N/A,,,,,,,,,27,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,7.5,0.027,4.625,235,6.3450,26*26*16,28,26*26,Estándar,GPM 95
21,EI150-M5126-3P,LAMIN EI1.5 M51  26GA 3PH,,EI-150-M5126-3P,,EI-150-3P,266.7,P-150A,N/A,EI-150-3P,N/A,P-200A,Placas 6,EI-150-3P,N/A,,,,,,,,,27,18,Cocido,Evaporativo,Si,50M800,,,0.0197,7.5,0.069,4.625,235,16.2150,26*26*16,28,26*26,Estándar,GPM 95
22,EI150-M5126-3P,LAMIN EI1.5 M51  26GA 3PH,,EI-150-M5126-3P,,EI-150-3P,266.7,P-150A,N/A,EI-150-3P,N/A,P-200A,Placas 6,EI-150-3P,N/A,,,,,,,,,27,18,Cocido,Evaporativo,Si,50M800,,,0.0197,7.5,0.0275,4.625,235,6.4625,26*26*16,28,26*26,Estándar,GPM 95
23,EI180-M5126-3P,LAMIN EI1.8 M51 26GA 3PH,02,EI-180-M5126-3P,,EI-180-3P,320.04,P-200A,Placas 6 - Placas 7,N/A,B1,P-150B,Placas 6,N/A,B8,Minster 100,Placas 13,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,50M470,,0.0197,9,0.1,3,153,15.3000,26*26*16,32,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 60
24,EI180-M5126-3P,LAMIN EI1.8 M51 26GA,,EI-180-M5126-3P,,EI-180-3P,320.04,P-200A,Placas 6 - Placas 7,N/A,B1,P-150B,Placas 6,N/A,B8,Minster 100,Placas 13,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,50M470,,0.0197,9,0.04,6,305,12.2000,26*26*16,16,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 60
25,EI-3P180 M50 26,LAMINATION EI-1.8 M50 26GA,,EI-3P180 M50 26,,EI-180-3P,320.04,P-200A,Placas 6 - Placas 7,N/A,B1,P-150B,Placas 6,N/A,B8,Minster 100,Placas 13,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,50M470,,0.0197,9,0.0995,3,153,15.2235,26*26*16,32,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 60
26,EI-3P180 M50 26,LAMINATION EI-1.8 M50 26GA,,EI-3P180 M50 26,,EI-180-3P,320.04,P-200A,Placas 6 - Placas 7,N/A,B1,P-150B,Placas 6,N/A,B8-B2,Minster 100,Placas 13,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,50M470,,0.0197,9,0.0395,6,305,12.0475,26*26*16,16,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 60
27,0010028,"LAM, EI-3P240, M19 M26",,E-3P240,,EI-240-3P,426.72,P-200A,Placas 6,N/A,B5-B7,P-150A,N/A,N/A,B8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,18,Cocido,Evaporativo,Si,50M400,M6,50M350,0.0197,12,0.1774,3,153,27.1422,26*26*16,8,26*26,Estándar,GPM 60
28,0010028,"LAM, EI-3P240, M19 M26",,I-3P240,,EI-240-3P,426.72,P-200A,Placas 6,N/A,B6-B7,P-150A,N/A,N/A,B8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,18,Cocido,Evaporativo,Si,50M400,M6,50M350,0.0197,12,0.0705,6,305,21.5025,26*26*16,4,26*26,Estándar,GPM 60
29,EI-625-M5026-3P,LAMIN 5/8 M50-26GA,,EI-3P0625 M50 25,,EI-625-3P,152,Bliss,N/A,EI-625-3P,N/A,Aida,,,,,,,,,,,,29,18,Cocido,Evaporativo,Si,50M470,50M800,,0.0197,3.425,0.0168,9.25,470,7.8960,26*26*16,54,26*26,Estándar,
30,EI-625-M5026-3P,LAMIN 5/8 M50-26GA,,EI-3P0625 M50 26,,EI-625-3P,152,Bliss,N/A,EI-625-3P,N/A,Aida,,,,,,,,,,,,hg,18,Cocido,Evaporativo,Si,50M470,50M800,,0.0197,3.425,0.0066,9.25,470,3.1020,26*26*16,54,26*26,Estándar,
31,EI-625-M5126-3P,LAMIN 5/8 M51 26GA,05,EI-3P0625 M51 26,,EI-625-3P,152,Bliss,N/A,EI-625-3P,N/A,Aida,,,,,,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,,,0.0197,3.425,0.0168,9.25,470,7.8960,26*26*16,54,26*26,Estándar,
32,EI-625-M5126-3P,LAMIN 5/8 M51 26GA,05,EI-3P0625 M51 26,,EI-625-3P,152,Bliss,N/A,EI-625-3P,N/A,Aida,,,,,,,,,,,,29,18,Cocido,Evaporativo,Si,50M800,,,0.0197,3.425,0.0066,9.25,470,3.1020,26*26*16,54,26*26,Estándar,
33,EI-875-M5026-3P,LAMINATION EI 7/8 M50 26GA 3PH,,EI-875-M5026-3P,,EI-875-3P,177.8,Aida,Placas 3,EI-875-3P,N/A,Minster 100,Placas 13,EI-875-3P,N/A,,,,,,,,,25,18,Recocido ,Evaporativo,Si,50M470,,,0.0197,4.812,0.0288,6.25,318,9.1584,26*26*16,42,26*26,Estándar,GPM 120
34,EI-875-M5026-3P,LAMINATION EI 7/8 M50 26GA 3PH,,EI-875-M5026-3P,,EI-875-3P,177.8,Aida,Placas 3,EI-875-3P,N/A,Minster 100,Placas 13,EI-875-3P,N/A,,,,,,,,,25,18,Recocido ,Evaporativo,Si,50M470,,,0.0197,4.812,0.013,6.25,318,4.1340,26*26*16,42,26*26,Estándar,GPM 120
35,EI875-M5126-3P,LAMIN EI7/8 M51 26GA 3PH,,EI-875-M5126-3P,,EI-875-3P,177.8,Aida,Placas 3,EI-875-3P,N/A,Minster 100,Placas 13,EI-875-3P,N/A,,,,,,,,,25,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,4.812,0.0288,6.25,318,9.1584,26*26*16,42,26*26,Estándar,GPM 120
36,EI875-M5126-3P,LAMIN EI7/8 M51 26GA 3PH,,EI-875-M5126-3P,,EI-875-3P,177.8,Aida,Placas 3,EI-875-3P,N/A,Minster 100,Placas 13,EI-875-3P,N/A,,,,,,,,,25,18,Recocido ,Evaporativo,Si,50M800,50M470,,0.0197,4.812,0.013,6.25,318,4.1340,26*26*16,42,26*26,Estándar,GPM 120
37,0010027,"LAM, EI-3P325, M19 M26",,I-325-3P,,I-325-3P,412.75,Bliss,N/A,I-325-3P,B4,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,32,18,Recocido ,Tech cool 10-1 / Evaporativo,Si,50M400,50M310,,0.0197,3.25,0.13,28,1422,184.8600,26*26*16,1,26*26,Estándar,GPM 25
38,LAM-TRICORE-1012-001,,,LAM-TRICORE-1012-001,,TRICORE 1012,160.5,P-150B,,,,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3.81,0.0181,2,145,2.6245,26*26*16,,26*26,Estándar,
39,LAM-TRICORE1018-001,"1.8"" TRICORE LAMINATION",,LAM-TRICORE-1018-001,,TRICORE 1018,235.6,P-150B,,TRICORE 1018,N/A,,,,,,,,,,,,,,18,,Evaporativo,No,M6,,,0.0138,5.558,0.0454,4,290,13.1660,26*26*16,,26*26,Estándar,
40,LAM-TRICORE 1024-004,"2.4"" TRICORE SPLIT LAMINATION",,Tricore 1024-004,,1024-004,296,P-200A,Placas 6,N/A,,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,6.496,0.0562,3,218,12.2516,26*26*16,80,26*26,Estándar,40 juegos de alambre
41,LAM-TRICORE-1062-001,".625"" TRICORE LAMINATION ",03,LAM-TRICORE-1062-001,,TRICORE 1062,107.82,P-150A,,TRICORE 1062,N/A,,,,,,,,,,,,,,18,,Evaporativo,No,M6,,,0.0138,2.362,0.0091,4,290,2.6390,26*26*16,,26*26,Estándar,
42,LAM-TRICORE-1087-001,,,LAM-TRICORE-1087-001,,TRICORE 1087,128.8,P-150B,,,,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3,0.0136,2,145,1.9720,26*26*16,,26*26,Estándar,
43,0010051,STRIP LAMINATION 325 LONG LEG,X0,0010051,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,Evaporativo,,35M270,35M300,50M300,0.0138,3.25,0.0913,3,218,19.9034,26*26*16,36,26*26,Estándar,
44,0010052,LAMINATION 325 SHORT LEG,X0,0010052,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,Evaporativo,Si,35M270,35M300,,0.0138,3.25,0.065,3.00,218,14.0610,26*26*16,48,26*26,Estándar,
45,0010053,STRIP LAMINATION 325S TUB,X0,0010053,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,Evaporativo,No,35M270,35M300,,0.0138,3.25,0.0183,3,218,3.9894,26*26*16,192,26*26,Estándar,Formar alambre con dos ligas
46,LAM-1012-010,CORE M50 1.20 x 1.00 26GA,,LAM-1012-010,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,1,0.0029,3.25,165,0.4785,12*10*5,61,26*26,Estándar,Los alambres se amarran con 2 ligas. La cajas por tarima dependen de la cantidad
47,LAM-1015-004,CORE M6 1.5 X 32 29GA,02,LAM-1015-004,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,M6,,,0.0138,1.5,0.0097,9.25,671,6.5087,26*26*16,,26*26,Estándar,
48,LAM-1015-015,CORE M50 1.5 x 1.30 26 GA,03,1015-015,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,1.5,0.0049,9.25,470,2.3030,26*26*16,,26*26,Estándar,
49,LAM-1015-016,CORE M50 1.5 x 3.75 26GA,03,1015-016,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,35M145,,0.0197,1.5,0.0141,9.25,470,6.6270,26*26*16,108,26*26,Estándar,
50,LAM-1018-007,CORE M6 1.8 X 2.25 29 GA,01,1018-007,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,M6,35M145,,0.0138,1.8,0.007,6,435,3.0450,26*26*16,385,26*26,Estándar,
51,LAM-1018-008,CORE M50 1.8 x 4.500 26GA,,1018-008,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,1.8,0.0203,9.25,470,9.5410,26*26*16,"A granel, Flejado",26*26,Estándar,
52,LAM-1018-009,CORE M6 1.8 X 2.25 29 GA,02,1018-009,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,M6,,,0.0138,1.8,0.014,6,435,6.0900,26*26*16,85,26*26,Estándar,
53,LAM-1018-018,CORE M50 1.8X15 26 GA,06,1018-018,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,1.8,0.0068,4.75,242,1.6456,26*26*16,,26*26,Estándar,GPM 50
54,LAM-1018-019,CORE M50 1.8 X 2.25 26 GA,01,1018-019,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,1.8,0.0102,6,305,3.1110,26*26*16,,26*26,Estándar,
55,LAM-1087-005,CORE M50 0.875 x 0.82 26GA,,1087-005,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M470,,,0.0197,0.875,0.0018,9.25,470,0.8460,26*26*16,,26*26,Estándar,
56,LAM-2015-001,LAMIN EI-1.50 M50-26GA 3P,,LAM-2015-001,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,18,Recocido ,Evaporativo,Si,50M470,,,0.0197,1.5,0.0275,4,204,5.6100,26*26*16,104,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 25
57,LAM-2015-002,CORE M6-29 1.5 X 7.5,03,LAM-2015-002,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,18,Recocido ,Evaporativo,Si,M6,35M145,,0.0138,1.5,0.019,4,290,5.5100,26*26*16,104,26*26,Estándar,Rellenar espacio sobrante con papel antioxidante reciclado.
58,LAM-2018-001,CORE M50 1.8X9.0 26 GA,02,LAM-2018-001,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,18,Recocido ,Tech Cool 10-1,Si,50M470,,,0.0197,1.8,0.04,4,204,8.1600,26*26*16,111,26*26,Estándar,GPM 32
59,LAM-2018-002,CORE M6-29 1.8X9.0,05,LAM-2018-002,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,18,Recocido ,Evaporativo,Si,M6,,,0.0138,1.8,0.0275,4,290,7.9750,26*26*16,111,26*26,Estándar,GPM 32
60,LAM-2036-002,M6 29 GAUGE STEEL,01,LAM-2036-002,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,18,Recocido ,Evaporativo,No,M6,35M145,N/A,0.0138,3.6,0.111,2.5,182,20.2020,26*26*16,36,26*26,Estándar,GPM 200
61,LAM-2036-003,CORE M19-26 3.6x18.0 W3,00,LAM-2036-003,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,18,,Evaporativo,Si,50M400,50M330,,0.0197,3.60,0.1604,2.5,127,20.3708,26*26*16,36,26*26,Estándar,
62,LAM-2087-001,,,LAM-2087-001,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,50M470,,,0.0197,1.094,0.013,6.25,318,4.1340,26*26*16,,26*26,Estándar,
63,LAM-2012-003,M50-26 GA,01,2012-003,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,50M470,,,0.0197,1.2,0.0176,4.63,236,4.1536,26*26*16,,26*26,Estándar,
