,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
11,10-2074-10,ARMATURE PUNCHING,,R10-2074-10,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
12,10-2074-11,ARMATURE PUNCHING,,R10-2074-11,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
13,10-2074-12,ARMATURE PUNCHING,,R10-2074-12,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
14,10-2074-13,ARMATURE PUNCHING,,R10-2074-13,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
15,5-4522,"LAMINATION, ROTOR IMBEDDED MAGNET",,R5-4522,,5-4537-4522,55.1,Minster 30,N/A,5-4537-4522,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,2.208,,,#DIV/0!,#DIV/0!,,,,,
16,5-4537,"LAMINATION, ROTOR IMBEDDED MAGNET",,R5-4537,,5-4537-4522,55.1,Minster 30,N/A,5-4537-4522,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,2.208,,,#DIV/0!,#DIV/0!,,,,,
17, 10-4547,"FIELD PUNCHING-3.0""SQR",,E10-4547,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,27,18,Recocido ,Evaporativo,No,50M600,50M800,,0.0197,3.11,0.0098,9.25,470,4.6060,40x40,156,40x40,Estandar,GPM 200
18,10-2049-1,"ARMATURE PUNCHING-22 SLOT,STEEL",,R10-2049-1,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,23,18,Recocido ,Evaporativo,No,50M600,50M800,,0.0197,3.1,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,GPM 200
19,10-2049-2,"ARMATURE PUNCHING-22 SLOT,STEEL",,R10-2049-2,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,23,18,,Evaporativo,No,50M600,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,GPM 200
20,10-2049-3,"ARMATURE PUNCHING-22 SLOT,STEEL",,R10-2049-3,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,23,18,,Evaporativo,No,50M600,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,GPM 200
21,10-2049-4,"ARMATURE PUNCHING-22 SLOT,STEEL",,R10-2049-4,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,23,18,Recocido ,Evaporativo,No,50M600,50M800,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,GPM 200
22,10-2049-5,"ARMATURE PUNCHING-22 SLOT,STEEL",,R10-2049-5,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,N/A,Minster 100,N/A,RS 3000,N/A,,,,,23,18,,Evaporativo,No,50M600,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,GPM 200
23, 10-4546,"FIELD PUNCHING-3.0""SQR",,E10-4546,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,27,18,Recocido ,Evaporativo,No,50M470,,,0.0197,3.11,0.0098,9.25,470,4.6060,40x40,156,40x40,Estandar,
24, 10-2048-1,"ARM PUNCHING-22 SLOT, STEEL",,R10-2048-1,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M470,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
25, 10-2048-2,"ARM PUNCHING-22 SLOT, STEEL",,R10-2048-2,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M470,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
26, 10-2048-3,"ARM PUNCHING-22 SLOT, STEEL",,R10-2048-3,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,Recocido ,Evaporativo,No,50M470,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
27, 10-2048-4,"ARM PUNCHING-22 SLOT, STEEL",,R10-2048-4,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M470,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
28, 10-2048-5,"ARM PUNCHING-22 SLOT, STEEL",,R10-2048-5,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M470,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
29, 10-4550,"FIELD PUNCHING-3.0""SQR",,E10-4550,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,N/A,,N/A,,,,,27,18,,Evaporativo,No,50M350,50M330,,0.0197,3.11,0.0098,9.25,470,4.6060,40x40,156,40x40,Estandar,
30, 10-2052-1,"ARM PUNCHING-22 SLOT, STEEL",,R10-2052-1,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M350,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
31, 10-2052-2,"ARM PUNCHING-22 SLOT, STEEL",,R10-2052-2,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M350,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
32, 10-2052-3,"ARM PUNCHING-22 SLOT, STEEL",,R10-2052-3,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M350,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
33, 10-2052-4,"ARM PUNCHING-22 SLOT, STEEL",,R10-2052-4,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,,,,,,,,23,18,,Evaporativo,No,50M350,,,0.0197,3.11,0.0034,9.25,470,1.5980,40x40,460,40x40,Estandar,
34, 10-2052-5,"ARM PUNCHING-22 SLOT, STEEL",,R10-2052-5,,RS 3000,77.2,Bliss,N/A,RS 3000,N/A,P-150B,Placas 9,RS 3000,,Minster 100,N/A,,N/A,,,,,23,18,,Evaporativo,No,50M350,50M330,,0.0197,3.11,0.0036,9.25,470,1.6920,40x40,460,40x40,Estandar,
35, 10-4544,FIELD PINCHING -,,E10-4544,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,Recocido ,Evaporativo,No,50M470,65M800,,0.0197,2.56,0.0078,9.25,470,3.6660,,,,,GPM 140/160
36,10-4544-1,FIELD PINCHING -,,E10-4544-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,,Evaporativo,No,50M470,,,0.0197,2.559,0.0078,9.25,470,3.6660,,,,,GPM 140/160
37,10-2045,ARM PUNCHING -,,R10-2045,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,Recocido ,Evaporativo,No,50M470,65M800,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,GPM 140/160
38,10-2045-1,ARM PUNCHING -,,R10-2045-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaporativo,No,50M470,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,GPM 140/160
39,10-2045-2,ARM PUNCHING -,,R10-2045-2,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M470,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,GPM 140/160
40, 10-4548,FIELD PUNCHING -,,E10-4548,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,,Evaportativo ,No,50M350,,,0.0197,2.559,0.0078,9.25,470,3.6660,,,,,
41,10-4548-1,FIELD PUNCHING -,,E10-4548-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,,Evaporativo,No,50M350,,,0.0197,2.559,0.0078,9.25,470,3.6660,,,,,
42, 10-2050-1,ARM PUNCHING -,,R10-2050-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M350,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
43,10-2050-2,ARM PUNCHING -,,R10-2050-2,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaporativo,No,50M350,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
44, 10-4539,FIELD PUNCHING -,,E10-4539,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,,Evaporativo ,No,65M800,,,0.0256,2.559,,9.25,362,0.0000,,,,,
45, 10-2036,ARM PUNCHING -,,R10-2036,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaporativo,No,65M800,,,0.0256,2.559,,9.25,362,0.0000,,,,,
46,10-2036-1,FIELD PUNCHING -,,R10-2036-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,65M800,,,0.0256,2.559,,9.25,362,0.0000,,,,,
47,10-2036-2,FIELD PUNCHING -,,R10-2036-2,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaporativo,No,65M800,,,0.0256,2.559,,9.25,362,0.0000,,,,,
48,10-2036-3,FIELD PUNCHING -,,R10-2036-3,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaporativo ,No,65M800,,,0.0256,2.559,,9.25,362,0.0000,,,,,
49, 10-4557,FIELD PUNCHING-STEEL,,E10-4557,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,26,18,,Evaportativo ,No,50M800,,,0.0197,2.559,0.0078,9.25,470,3.6660,,,,,
50, 10-2061,ARM PUNCHING -,,R10-2061,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M800,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
51,10-2061-1,ARM PUNCHING -,,R10-2061-1,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M800,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
52,10-2061-2,ARM PUNCHING -,,R10-2061-2,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M800,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
53,10-2061-3,ARM PUNCHING -,,R10-2061-3,,RS WL,69,Minster 100,N/A,RS WL,N/A,Bliss,N/A,RS WL,N/A,,,,,,,,,23,18,,Evaportativo ,No,50M800,,,0.0197,2.559,0.0025,9.25,470,1.1750,,,,,
54, 10-4551,"FIELD PUNCHING-3.5""",,E10-4551,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,29,18,Cocido,Evaporativo,No,50M350,50M400,,0.0197,3.622,0.0134,9.25,470,6.2980,,,,,
55, 10-2053,"ARM PUNCHING-22 SLOT, STEEL",,R10-2053,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M350,,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
56,10-2053-1,"ARM PUNCHING-22 SLOT, STEEL",,R10-2053-1,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M350,50M400,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
57,10-2053-2,"ARM PUNCHING-22 SLOT, STEEL",,R10-2053-2,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M350,50M400,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
58, 10-4540,"FIELD PUNCHING-3.5"" SQR",,E10-4540,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,29,18,Cocido,Evaporativo,No,50M470,,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
59, 10-2039,"ARM-PUNCHING-22 SLOT,STEEL",,R10-2039,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M470,,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
60,10-2039-1,"ARM-PUNCHING-22 SLOT,STEEL",,R10-2039-1,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M470,,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
61,10-2039-2,"ARM-PUNCHING-22 SLOT,STEEL",,R10-2039-2,,RS 3500,90,Minster 100,N/A,RS 3500,N/A,Bliss,N/A,RS 3500,,,,,,,,,,25,18,Cocido,Evaporativo,No,50M470,,,0.0197,3.622,0.004,9.25,470,1.8800,,,,,
62, 10-4552,FIELD PUNCHING,,E10-4552,,GALAXY ,73.52,P-150A,,GALAXY ,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,No,50M350,50M400,,0.0197,8.267,0.0084,8.75,445,3.7380,,,,,
63,10-2054,"ARM PUNCHING-22 SLOT, STEEL",,R10-2054,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M350,,,0.0197,8.267,,8.75,445,0.0000,,,,,
64,10-2054-1,"ARM PUNCHING-22 SLOT, STEEL",,R10-2054-1,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M350,,,0.0197,8.267,,8.75,445,0.0000,,,,,
65,10-2054-2,"ARM PUNCHING-22 SLOT, STEEL",,R10-2054-2,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M350,,,0.0197,8.267,,8.75,445,0.0000,,,,,
66,10-2054-3,"ARM PUNCHING-22 SLOT, STEEL",,R10-2054-3,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,No,50M350,50M400,,0.0197,8.267,0.0032,8.75,445,1.4240,,,,,
67, 10-4563,FIELD PUNCHING,,E10-4563,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M470,,,0.0197,8.267,,8.75,445,0.0000,,,,,
68, 10-2071,"ARM PUNCHING-22 SLOT, STEEL",,R10-2071,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M470,,,0.0197,8.267,,8.75,445,0.0000,,,,,
69,10-2071-1,"ARM PUNCHING-22 SLOT, STEEL",,R10-2071-1,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M470,,,0.0197,8.267,,8.75,445,0.0000,,,,,
70,10-2071-2,"ARM PUNCHING-22 SLOT, STEEL",,R10-2071-2,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M470,,,0.0197,8.267,,8.75,445,0.0000,,,,,
71,10-2071-3,"ARM PUNCHING-22 SLOT, STEEL",,R10-2071-3,,GALAXY,73.52,P-150A,,GALAXY,N/A,,,,,,,,,,,,,,,,Tech cool 10-1,No,50M470,,,0.0197,8.267,,8.75,445,0.0000,,,,,
72,10-4573,FIELD LAMINATION SQ K,,E10-4573,,GALAXY 95,77.2,Bliss,N/A,GALAXY 95,N/A,,,,,,,,,,,,,26,18,Cocido,Evaporativo,No,50M800,50M470,,0.0197,3.11,0.0093,9.25,470,4.3710,,,,,GPM 140/160
73,10-2082,LAMINATION ROTOR; SQ-K,,R10-2082,,GALAXY 95,77.2,Bliss,N/A,GALAXY 95,N/A,,,,,,,,,,,,,24,18,Cocido,Evaporativo,No,50M800,50M470,,0.0197,3.11,0.0036,9.25,470,1.6920,,,,,GPM 140/160
74,MDL-8A/S,LAMINATION STACK ,,MDL,,MDL,76.2,P-200B,N/A,N/A,B6-B10,P-200A,N/A,N/A,B6-B10,,,,,,,,,N/A,N/A,N/A,Evaporativo,No,65M800,,,0.0256,8.25,0.0175,1.203,47,0.8225,,,,,
75,10-4574,"FLD PUNCHING-3.5""SQR",,E10-4574,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
76,10-2083,ARM PUNCHING-28 SLOT,,R10-2083,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
77,10-2083-1,ARM PUNCHING-28 SLOT,,R10-2083-1,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
78,10-2083-2,ARM PUNCHING-28 SLOT,,R10-2083-2,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
79,10-2083-3,ARM PUNCHING-28 SLOT,,R10-2083-3,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
80,10-4575,"FLD PUNCHING-3.5""SQR",,E10-4575,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
81,10-2083,ARM PUNCHING-28 SLOT,,R10-2083,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
82,10-2083-1,ARM PUNCHING-28 SLOT,,R10-2083-1,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
83,10-2083-2,ARM PUNCHING-28 SLOT,,R10-2083-2,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
84,10-2083-3,ARM PUNCHING-28 SLOT,,R10-2083-3,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
85,10-4503,"FLD PUNCHING-3.5""SQR",,E10-4503,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
86,0-4556,"FLD PUNCHING-3.5""SQR",,E0-4556,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
87,10-2005,ARM PUNCHING-28 SLOT,,R10-2005,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
88,0-2063,ARM PUNCHING-28 SLOT,,R0-2063,,RS3500-22,90,P-200B,P14-P300,RS3500-22,N/A,,,,,,,,,,,,,,,,,,,,,,3.602,,,#DIV/0!,#DIV/0!,,,,,
